temp_c,condition,wind_kph,pressure_mb,humidity,feelslike_c,windchill_c,heatindex_c,will_it_rain,chance_of_rain,will_it_snow,chance_of_snow,vis_km,vis_miles,gust_mph,gust_kph,state,city
24.5,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",4.7,1004.0,41.0,25.1,24.5,25.1,0.0,0.0,0.0,0.0,10.0,6.0,6.0,9.7,Uttar Pradesh,Lucknow
24.2,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",4.7,1004.0,41.0,24.9,24.2,24.9,0.0,0.0,0.0,0.0,10.0,6.0,6.0,9.7,Uttar Pradesh,Lucknow
23.8,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",4.7,1004.0,41.0,24.8,23.8,24.8,0.0,0.0,0.0,0.0,10.0,6.0,6.0,9.7,Uttar Pradesh,Lucknow
23.5,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",4.7,1004.0,42.0,24.6,23.5,24.6,0.0,0.0,0.0,0.0,10.0,6.0,6.0,9.7,Uttar Pradesh,Lucknow
23.2,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",4.3,1004.0,43.0,24.6,23.2,24.6,0.0,0.0,0.0,0.0,10.0,6.0,5.6,9.0,Uttar Pradesh,Lucknow
22.9,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",4.0,1005.0,45.0,24.5,22.9,24.5,0.0,0.0,0.0,0.0,10.0,6.0,5.1,8.3,Uttar Pradesh,Lucknow
22.6,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",3.6,1005.0,46.0,24.5,22.6,24.5,0.0,0.0,0.0,0.0,10.0,6.0,4.7,7.6,Uttar Pradesh,Lucknow
24.6,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",3.2,1006.0,43.0,25.7,24.6,25.7,0.0,0.0,0.0,0.0,10.0,6.0,3.7,6.0,Uttar Pradesh,Lucknow
26.7,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",2.9,1006.0,39.0,26.9,26.7,26.9,0.0,0.0,0.0,0.0,10.0,6.0,2.8,4.4,Uttar Pradesh,Lucknow
28.7,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",2.5,1006.0,35.0,28.1,28.7,28.1,0.0,0.0,0.0,0.0,10.0,6.0,1.8,2.9,Uttar Pradesh,Lucknow
31.1,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",3.0,1006.0,32.0,30.7,31.1,30.7,0.0,0.0,0.0,0.0,10.0,6.0,2.2,3.5,Uttar Pradesh,Lucknow
33.4,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",3.5,1005.0,30.0,33.2,33.4,33.2,0.0,0.0,0.0,0.0,10.0,6.0,2.5,4.1,Uttar Pradesh,Lucknow
35.8,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",4.0,1004.0,27.0,35.8,35.8,35.8,0.0,0.0,0.0,0.0,10.0,6.0,2.9,4.7,Uttar Pradesh,Lucknow
