temp_c,condition,wind_kph,pressure_mb,humidity,feelslike_c,heatindex_c
24.5,Clear,4.7,1004.0,41.0,25.1,25.1
24.2,Clear,4.7,1004.0,41.0,24.9,24.9
23.8,Clear,4.7,1004.0,41.0,24.8,24.8
23.5,Clear,4.7,1004.0,42.0,24.6,24.6
23.2,Clear,4.3,1004.0,43.0,24.6,24.6
22.9,Clear,4.0,1005.0,45.0,24.5,24.5
22.6,Clear,3.6,1005.0,46.0,24.5,24.5
24.6,Sunny,3.2,1006.0,43.0,25.7,25.7
26.7,Sunny,2.9,1006.0,39.0,26.9,26.9
28.7,Sunny,2.5,1006.0,35.0,28.1,28.1
31.1,Sunny,3.0,1006.0,32.0,30.7,30.7
33.4,Sunny,3.5,1005.0,30.0,33.2,33.2
35.8,Sunny,4.0,1004.0,27.0,35.8,35.8
36.0,Sunny,4.0,1003.0,27.0,36.1,36.1
36.2,Sunny,4.0,1003.0,27.0,36.5,36.5
36.4,Sunny,4.0,1002.0,28.0,36.8,36.8
34.1,Sunny,3.7,1002.0,32.0,34.4,34.4
31.9,Sunny,3.5,1002.0,35.0,32.0,32.0
29.6,Clear,3.2,1003.0,39.0,29.6,29.6
28.7,Clear,2.3,1003.0,40.0,28.7,28.7
27.7,Clear,1.3,1004.0,42.0,27.8,27.8
26.8,Clear,0.4,1004.0,43.0,26.9,26.9
26.6,Clear,0.5,1004.0,47.0,27.0,27.0
26.4,Clear,0.6,1004.0,51.0,27.0,27.0
28.5,Clear,8.3,1005.0,20.0,26.5,26.5
28.0,Clear,7.8,1004.0,22.0,26.3,26.3
27.6,Clear,7.3,1004.0,24.0,26.0,26.0
27.1,Clear,6.8,1004.0,25.0,25.8,25.8
26.7,Clear,6.2,1004.0,27.0,25.7,25.7
26.3,Clear,5.6,1005.0,29.0,25.5,25.5
25.9,Clear,5.0,1005.0,31.0,25.4,25.4
27.4,Sunny,4.4,1006.0,28.0,26.4,26.4
29.0,Sunny,3.8,1006.0,25.0,27.5,27.5
30.5,Sunny,3.2,1006.0,22.0,28.5,28.5
33.0,Sunny,3.6,1006.0,19.0,31.3,31.3
35.4,Sunny,4.0,1005.0,16.0,34.1,34.1
37.9,Sunny,4.3,1004.0,13.0,36.9,36.9
38.2,Sunny,3.5,1004.0,12.0,37.3,37.3
38.4,Sunny,2.6,1003.0,12.0,37.6,37.6
38.7,Sunny,1.8,1002.0,11.0,38.0,38.0
37.3,Sunny,2.3,1002.0,12.0,36.2,36.2
35.8,Sunny,2.8,1003.0,13.0,34.3,34.3
34.4,Clear,3.2,1003.0,15.0,32.5,32.5
33.2,Clear,4.3,1003.0,15.0,31.2,31.2
32.0,Clear,5.4,1004.0,16.0,29.9,29.9
30.8,Clear,6.5,1004.0,17.0,28.6,28.6
30.3,Clear,6.1,1004.0,19.0,28.2,28.2
29.8,Clear,5.8,1004.0,21.0,27.9,27.9
23.3,Clear,4.0,1005.0,57.0,25.0,25.0
23.0,Clear,4.6,1004.0,57.0,24.9,24.9
22.6,Clear,5.2,1004.0,58.0,24.7,24.7
22.3,Clear,5.8,1004.0,58.0,24.6,24.6
22.1,Clear,6.2,1004.0,60.0,24.6,24.6
21.8,Clear,6.7,1005.0,62.0,21.8,24.5
21.6,Sunny,7.2,1005.0,64.0,21.6,24.5
23.7,Sunny,7.0,1006.0,59.0,25.8,25.8
25.7,Sunny,6.7,1006.0,54.0,27.1,27.1
27.8,Sunny,6.5,1006.0,49.0,28.4,28.4
29.9,Sunny,6.4,1005.0,47.0,31.2,31.2
32.1,Sunny,6.2,1005.0,44.0,34.0,34.0
34.2,Sunny,6.1,1004.0,41.0,36.8,36.8
34.4,Sunny,5.4,1003.0,41.0,37.3,37.3
34.7,Sunny,4.7,1003.0,42.0,37.9,37.9
34.9,Sunny,4.0,1002.0,42.0,38.4,38.4
32.6,Sunny,4.1,1002.0,46.0,35.4,35.4
30.4,Sunny,4.2,1003.0,50.0,32.3,32.3
28.1,Clear,4.3,1003.0,54.0,29.3,29.3
27.0,Clear,4.3,1003.0,55.0,28.2,28.2
26.0,Clear,4.3,1004.0,57.0,27.2,27.2
24.9,Clear,4.3,1004.0,58.0,26.1,26.1
24.8,Clear,3.4,1004.0,59.0,26.1,26.1
24.8,Clear,2.4,1004.0,60.0,26.0,26.0
24.5,Clear,4.0,1005.0,42.0,25.2,25.2
24.1,Clear,4.2,1004.0,43.0,25.0,25.0
23.6,Clear,4.4,1004.0,44.0,24.8,24.8
23.2,Clear,4.7,1004.0,45.0,24.6,24.6
23.0,Clear,4.8,1005.0,46.0,24.6,24.6
22.9,Clear,4.9,1005.0,47.0,24.5,24.5
22.7,Clear,5.0,1005.0,48.0,24.5,24.5
24.9,Sunny,5.6,1006.0,43.0,25.9,25.9
27.0,Sunny,6.2,1006.0,39.0,27.2,27.2
29.2,Sunny,6.8,1006.0,35.0,28.6,28.6
31.4,Sunny,7.2,1006.0,32.0,31.1,31.1
33.7,Sunny,7.6,1005.0,30.0,33.6,33.6
35.9,Sunny,7.9,1004.0,28.0,36.1,36.1
36.0,Sunny,7.7,1003.0,28.0,36.3,36.3
36.2,Sunny,7.4,1003.0,28.0,36.5,36.5
36.3,Sunny,7.2,1002.0,28.0,36.7,36.7
34.1,Sunny,6.2,1002.0,31.0,34.3,34.3
31.8,Sunny,5.3,1003.0,35.0,31.8,31.8
29.6,Clear,4.3,1003.0,39.0,29.4,29.4
28.7,Clear,3.2,1003.0,40.0,28.6,28.6
27.7,Clear,2.2,1004.0,41.0,27.7,27.7
26.8,Clear,1.1,1004.0,42.0,26.9,26.9
26.6,Clear,1.3,1004.0,43.0,26.8,26.8
26.3,Clear,1.6,1004.0,45.0,26.6,26.6
26.2,Clear,7.9,1005.0,27.0,25.3,25.3
25.9,Clear,7.7,1004.0,27.0,25.1,25.1
25.5,Clear,7.4,1004.0,27.0,24.8,24.8
25.2,Clear,7.2,1004.0,27.0,24.6,24.6
24.7,Clear,6.6,1004.0,28.0,24.4,24.4
24.3,Clear,6.0,1005.0,29.0,24.2,24.2
23.8,Clear,5.4,1005.0,30.0,24.0,24.0
25.8,Sunny,5.3,1006.0,27.0,25.2,25.2
27.7,Sunny,5.2,1006.0,25.0,26.5,26.5
29.7,Sunny,5.0,1007.0,22.0,27.7,27.7
32.3,Sunny,4.2,1006.0,20.0,30.5,30.5
34.8,Sunny,3.4,1005.0,18.0,33.4,33.4
37.4,Sunny,2.5,1004.0,16.0,36.2,36.2
37.5,Sunny,2.5,1004.0,15.0,36.4,36.4
37.7,Sunny,2.5,1003.0,14.0,36.6,36.6
37.8,Sunny,2.5,1002.0,13.0,36.8,36.8
36.0,Sunny,2.8,1002.0,15.0,34.6,34.6
34.2,Sunny,3.0,1003.0,17.0,32.4,32.4
32.4,Clear,3.2,1003.0,18.0,30.2,30.2
31.2,Clear,4.2,1003.0,20.0,29.1,29.1
30.1,Clear,5.2,1004.0,21.0,28.1,28.1
28.9,Clear,6.1,1004.0,22.0,27.0,27.0
28.3,Clear,6.0,1004.0,23.0,26.5,26.5
27.6,Clear,5.9,1004.0,23.0,26.1,26.1
24.8,Clear,5.8,1004.0,37.0,25.1,25.1
24.4,Clear,5.4,1004.0,38.0,24.9,24.9
23.9,Clear,5.0,1004.0,39.0,24.8,24.8
23.5,Clear,4.7,1004.0,40.0,24.6,24.6
23.2,Clear,4.3,1004.0,41.0,24.5,24.5
22.9,Clear,4.0,1005.0,43.0,24.5,24.5
22.6,Clear,3.6,1005.0,45.0,24.4,24.4
24.7,Sunny,3.5,1006.0,41.0,25.7,25.7
26.9,Sunny,3.4,1006.0,37.0,26.9,26.9
29.0,Sunny,3.2,1006.0,33.0,28.2,28.2
31.3,Sunny,4.2,1006.0,30.0,30.6,30.6
33.7,Sunny,5.2,1005.0,27.0,33.1,33.1
36.0,Sunny,6.1,1004.0,25.0,35.5,35.5
36.2,Sunny,5.5,1003.0,24.0,35.6,35.6
36.3,Sunny,4.9,1003.0,24.0,35.8,35.8
36.5,Sunny,4.3,1002.0,23.0,35.9,35.9
34.3,Sunny,3.5,1002.0,27.0,33.7,33.7
32.2,Sunny,2.6,1003.0,30.0,31.5,31.5
30.0,Clear,1.8,1003.0,33.0,29.3,29.3
29.0,Clear,1.6,1003.0,34.0,28.4,28.4
27.9,Clear,1.3,1004.0,35.0,27.4,27.4
26.9,Clear,1.1,1004.0,36.0,26.5,26.5
26.6,Clear,1.4,1004.0,40.0,26.5,26.5
26.4,Clear,1.8,1004.0,43.0,26.5,26.5
26.2,Clear,0.7,1003.0,56.0,27.1,27.1
25.8,Clear,1.4,1003.0,57.0,26.8,26.8
25.5,Clear,2.2,1004.0,58.0,26.6,26.6
25.1,Clear,2.9,1004.0,59.0,26.3,26.3
24.9,Clear,3.2,1004.0,60.0,26.2,26.2
24.8,Clear,3.6,1005.0,62.0,26.1,26.1
24.6,Clear,4.0,1005.0,63.0,26.0,26.0
26.4,Sunny,5.2,1006.0,59.0,27.8,27.8
28.1,Sunny,6.4,1006.0,54.0,29.5,29.5
29.9,Sunny,7.6,1007.0,50.0,31.3,31.3
32.0,Sunny,7.8,1006.0,47.0,34.5,34.5
34.1,Sunny,8.0,1005.0,44.0,37.6,37.6
36.2,Sunny,8.3,1005.0,41.0,40.8,40.8
36.4,Sunny,8.5,1004.0,41.0,41.0,41.0
36.5,Sunny,8.8,1003.0,40.0,41.1,41.1
36.7,Sunny,9.0,1003.0,40.0,41.3,41.3
34.9,Sunny,8.0,1003.0,44.0,38.8,38.8
33.1,Sunny,7.1,1004.0,47.0,36.4,36.4
31.3,Clear,6.1,1004.0,51.0,33.9,33.9
30.3,Clear,6.7,1004.0,53.0,32.5,32.5
29.4,Clear,7.3,1005.0,54.0,31.2,31.2
28.4,Clear,7.9,1006.0,55.0,29.8,29.8
28.2,Clear,8.4,1006.0,57.0,29.7,29.7
28.0,Partly cloudy,8.9,1006.0,59.0,29.6,29.6
29.3,Clear,5.4,1003.0,23.0,27.5,27.5
28.8,Clear,5.3,1004.0,24.0,27.1,27.1
28.2,Clear,5.2,1004.0,25.0,26.7,26.7
27.7,Clear,5.0,1004.0,26.0,26.3,26.3
27.3,Clear,5.3,1004.0,27.0,26.1,26.1
27.0,Clear,5.5,1005.0,28.0,25.9,25.9
26.6,Clear,5.8,1005.0,29.0,25.7,25.7
27.9,Sunny,6.0,1006.0,28.0,26.8,26.8
29.2,Sunny,6.2,1006.0,28.0,28.0,28.0
30.5,Sunny,6.5,1007.0,27.0,29.1,29.1
32.9,Sunny,6.1,1006.0,26.0,32.0,32.0
35.4,Sunny,5.8,1006.0,24.0,34.8,34.8
37.8,Sunny,5.4,1005.0,23.0,37.7,37.7
